"Opportunity Name","ID","Opportunity Amount","Currency","Expected Close Date","Sales Stage","Probability (%)","Next Step","Type","Account Name","Description","Amount","Lead Source","campaign_id","Assigned to","Assigned User","Date Created","Date Modified","Created By","Modified By","Deleted","Geocode Status","Longitude","Address","Latitude"
"A Magna Lorem Foundation vxbdAAA  MOL Standard Software","006i0000001vxbdAAA",67,"","04/29/2015","Closed Won","","","Software","A Magna Lorem Foundation","",39664,"","","","","04/21/2015 00:00","","","","","",-89.67279,"",39.748705
"Maecenas Malesuada Fringilla Institute vvXWAAY  MOL Mobile Software","006i0000001vvXWAAY",6,"","03/28/2014","Closed Won","","","Software","Maecenas Malesuada Fringilla Institute","",4320,"","","","","03/30/2014 00:00","","","","","",-107.323173,"",39.547653
"Maecenas Malesuada Fringilla Institute vx4jAAA  MOL Mobile Maintenance","006i0000001vx4jAAA",15,"","02/01/2015","Closed Won","","","Maintenance","Maecenas Malesuada Fringilla Institute","",1638,"","","","","01/27/2015 00:00","","","","","",-107.323173,"",39.547653
"Maecenas Malesuada Fringilla Institute vxCHAAY  MOL Mobile Software","006i0000001vxCHAAY",18,"","02/28/2015","Closed Won","","","Software","Maecenas Malesuada Fringilla Institute","",14742,"","","","","02/22/2015 00:00","","","","","",-107.323173,"",39.547653
"Neque Venenatis Lacus Ltd vusuAAA  MOL Standard Services","006i0000001vusuAAA",22,"","10/27/2013","Closed Won","","","Services","Neque Venenatis Lacus Ltd","",11088,"","","","","09/29/2013 00:00","","","","","",-90.021074,"",38.537919
"Neque Venenatis Lacus Ltd vunxAAA  MOL Premium Software","006i0000001vunxAAA",12,"","10/27/2013","Closed Won","","","Software","Neque Venenatis Lacus Ltd","",11664,"","","","","09/23/2013 00:00","","","","","",-90.021074,"",38.537919
"Neque Venenatis Lacus Ltd vuyEAAQ  MOL Standard Software","006i0000001vuyEAAQ",19,"","10/27/2013","Closed Won","","","Software","Neque Venenatis Lacus Ltd","",11552,"","","","","10/29/2013 00:00","","","","","",-90.021074,"",38.537919
"Neque Venenatis Lacus Ltd vv1nAAA  MOL Standard Services","006i0000001vv1nAAA",29,"","11/27/2013","Closed Lost","","","Services","Neque Venenatis Lacus Ltd","",18879,"","","","","11/20/2013 00:00","","","","","",-90.021074,"",38.537919
"Neque Venenatis Lacus Ltd vvIUAAY  MOL Standard Services","006i0000001vvIUAAY",12,"","01/30/2014","Closed Won","","","Services","Neque Venenatis Lacus Ltd","",7812,"","","","","01/27/2014 00:00","","","","","",-90.021074,"",38.537919
"Neque Venenatis Lacus Ltd vvTjAAI  MOL Standard Software","006i0000001vvTjAAI",6,"","03/21/2014","Closed Won","","","Software","Neque Venenatis Lacus Ltd","",4560,"","","","","03/20/2014 00:00","","","","","",-90.021074,"",38.537919
"Neque Venenatis Lacus Ltd vwQIAAY  MOL Standard Software","006i0000001vwQIAAY",82,"","10/04/2014","Closed Lost","","","Software","Neque Venenatis Lacus Ltd","",51168,"","","","","09/28/2014 00:00","","","","","",-90.021074,"",38.537919
"Neque Venenatis Lacus Ltd vwRmAAI  MOL Standard Software","006i0000001vwRmAAI",21,"","10/04/2014","Closed Lost","","","Software","Neque Venenatis Lacus Ltd","",12432,"","","","","09/29/2014 00:00","","","","","",-90.021074,"",38.537919
"Neque Venenatis Lacus Ltd vwfjAAA  MOL Standard Software","006i0000001vwfjAAA",18,"","11/22/2014","Closed Won","","","Software","Neque Venenatis Lacus Ltd","",11952,"","","","","11/19/2014 00:00","","","","","",-90.021074,"",38.537919
"Neque Venenatis Lacus Ltd vx3vAAA  MOL Premium Maintenance","006i0000001vx3vAAA",12,"","02/01/2015","Closed Lost","","","Maintenance","Neque Venenatis Lacus Ltd","",1350,"","","","","01/26/2015 00:00","","","","","",-90.021074,"",38.537919
"Neque Venenatis Lacus Ltd vxFJAAY  MOL Standard Software","006i0000001vxFJAAY",18,"","03/02/2015","Closed Lost","","","Software","Neque Venenatis Lacus Ltd","",11376,"","","","","03/01/2015 00:00","","","","","",-90.021074,"",38.537919
"Neque Venenatis Lacus Ltd vwHWAAY  MOL Standard Software","006i0000001vwHWAAY",26,"","03/21/2015","Closed Won","","","Software","Neque Venenatis Lacus Ltd","",16640,"","","","","03/15/2015 00:00","","","","","",-90.021074,"",38.537919
"Neque Venenatis Lacus Ltd vxLqAAI  MOL Standard Software","006i0000001vxLqAAI",23,"","03/29/2015","Closed Lost","","","Software","Neque Venenatis Lacus Ltd","",14720,"","","","","03/21/2015 00:00","","","","","",-90.021074,"",38.537919
"Neque Venenatis Lacus Ltd vxc8AAA  MOL Standard Maintenance","006i0000001vxc8AAA",12,"","04/24/2015","Closed Won","","","Maintenance","Neque Venenatis Lacus Ltd","",1209.6,"","","","","04/24/2015 00:00","","","","","",-90.021074,"",38.537919
"Big T Burgers and Fries vtHXAAY  MOL Standard Software","006i0000001vtHXAAY",12,"","07/04/2011","Closed Lost","","","Software","Big T Burgers and Fries","",6912,"","","","","06/30/2011 00:00","","","","","",-71.099081,"",42.347128
"Big T Burgers and Fries vtzeAAA  MOL Mobile Maintenance","006i0000001vtzeAAA",183,"","11/24/2012","Closed Won","","","Software","Big T Burgers and Fries","",133407,"","","","","11/21/2012 00:00","","","","","",-71.099081,"",42.347128
"Big T Burgers and Fries vuBcAAI  MOL Standard Software","006i0000001vuBcAAI",12,"","02/26/2013","Closed Won","","","Software","Big T Burgers and Fries","",9504,"","","","","02/25/2013 00:00","","","","","",-71.099081,"",42.347128
"Big T Burgers and Fries vuBMAAY  MOL Standard Services","006i0000001vuBMAAY",17,"","02/27/2013","Closed Won","","","Services","Big T Burgers and Fries","",9758,"","","","","02/24/2013 00:00","","","","","",-71.099081,"",42.347128
"Big T Burgers and Fries vuvIAAQ  MOL Standard Services","006i0000001vuvIAAQ",1,"","10/22/2013","Closed Lost","","","Services","Big T Burgers and Fries","",686,"","","","","10/16/2013 00:00","","","","","",-71.099081,"",42.347128
"Big T Burgers and Fries vuwlAAA  MOL Standard Services","006i0000001vuwlAAA",155,"","11/04/2013","Closed Won","","","Services","Big T Burgers and Fries","",91140,"","","","","10/27/2013 00:00","","","","","",-71.099081,"",42.347128
"Big T Burgers and Fries vvNiAAI  MOL Standard Software","006i0000001vvNiAAI",9,"","02/26/2014","Closed Won","","","Software","Big T Burgers and Fries","",6408,"","","","","02/24/2014 00:00","","","","","",-71.099081,"",42.347128
"Big T Burgers and Fries vvNjAAI  MOL Standard Software","006i0000001vvNjAAI",46,"","03/02/2014","Closed Won","","","Software","Big T Burgers and Fries","",34592,"","","","","02/24/2014 00:00","","","","","",-71.099081,"",42.347128
"Big T Burgers and Fries vwRvAAI  MOL Standard Software","006i0000001vwRvAAI",20,"","10/07/2014","Closed Won","","","Software","Big T Burgers and Fries","",18480,"","","","","09/30/2014 00:00","","","","","",-71.099081,"",42.347128
"Big T Burgers and Fries vwflAAA  MOL Standard Services","006i0000001vwflAAA",16,"","11/28/2014","Closed Won","","","Services","Big T Burgers and Fries","",9856,"","","","","11/20/2014 00:00","","","","","",-71.099081,"",42.347128
"Big T Burgers and Fries vxCUAAY  MOL Standard Software","006i0000001vxCUAAY",71,"","02/28/2015","Closed Won","","","Software","Big T Burgers and Fries","",51120,"","","","","02/23/2015 00:00","","","","","",-71.099081,"",42.347128
"General Products vtP9AAI  MOL Standard Software","006i0000001vtP9AAI",43,"","11/19/2011","Closed Won","","","Software","General Products","",25456,"","","","","11/14/2011 00:00","","","","","",-75.953714,"",43.97665
"General Products vtP8AAI  MOL Mobile Software","006i0000001vtP8AAI",8,"","11/20/2011","Closed Won","","","Software","General Products","",7056,"","","","","11/14/2011 00:00","","","","","",-75.953714,"",43.97665
"General Products vu6DAAQ  MOL Standard Maintenance","006i0000001vu6DAAQ",11,"","01/03/2013","Closed Won","","","Maintenance","General Products","",1016.4,"","","","","01/01/2013 00:00","","","","","",-75.953714,"",43.97665
"General Products vu6fAAA  MOL Premium Services","006i0000001vu6fAAA",2,"","01/10/2013","Closed Lost","","","Services","General Products","",1780,"","","","","01/07/2013 00:00","","","","","",-75.953714,"",43.97665
"General Products vvKuAAI  MOL Standard Software","006i0000001vvKuAAI",16,"","02/12/2014","Closed Won","","","Software","General Products","",10368,"","","","","02/10/2014 00:00","","","","","",-75.953714,"",43.97665
"General Products vvY5AAI  MOL Standard Software","006i0000001vvY5AAI",1,"","03/31/2014","Closed Lost","","","Software","General Products","",784,"","","","","03/31/2014 00:00","","","","","",-75.953714,"",43.97665
"General Products vxBvAAI  MOL Standard Software","006i0000001vxBvAAI",26,"","02/26/2015","Closed Won","","","Software","General Products","",20384,"","","","","02/22/2015 00:00","","","","","",-75.953714,"",43.97665
"General Products vxCVAAY  MOL Premium Software","006i0000001vxCVAAY",14,"","03/02/2015","Closed Won","","","Software","General Products","",15624,"","","","","02/23/2015 00:00","","","","","",-75.953714,"",43.97665
"Suscipit Ltd vtSpAAI  MOL Standard Software","006i0000001vtSpAAI",18,"","12/25/2011","Closed Won","","","Software","Suscipit Ltd","",10224,"","","","","12/27/2011 00:00","","","","","",-79.673614,"",41.626608
"Suscipit Ltd vxCaAAI  MOL Mobile Software","006i0000001vxCaAAI",55,"","02/26/2015","Closed Won","","","Software","Suscipit Ltd","",44550,"","","","","02/23/2015 00:00","","","","","",-79.673614,"",41.626608
"Non Hendrerit Industries vxcrAAA  MOL Standard Software","006i0000001vxcrAAA",2,"","04/23/2015","Closed Won","","","Services","Non Hendrerit Industries","",1068,"","","","","04/25/2015 00:00","","","","","",-116.952118,"",44.015396
"Egestas Limited vtFRAAY  MOL Standard Software","006i0000001vtFRAAY",11,"","06/10/2011","Closed Lost","","","Software","Egestas Limited","",8184,"","","","","06/12/2011 00:00","","","","","",-75.724286,"",39.843873
"Egestas Limited vtJpAAI  MOL Standard Software","006i0000001vtJpAAI",98,"","08/28/2011","Closed Lost","","","Software","Egestas Limited","",61152,"","","","","08/20/2011 00:00","","","","","",-75.724286,"",39.843873
"Egestas Limited vtTgAAI  MOL Standard Software","006i0000001vtTgAAI",7,"","01/17/2012","Closed Won","","","Software","Egestas Limited","",5488,"","","","","01/14/2012 00:00","","","","","",-75.724286,"",39.843873
"Egestas Limited vtdcAAA  MOL Standard Software","006i0000001vtdcAAA",19,"","05/08/2012","Closed Won","","","Software","Egestas Limited","",12160,"","","","","05/04/2012 00:00","","","","","",-75.724286,"",39.843873
"Egestas Limited vu6RAAQ  MOL Standard Software","006i0000001vu6RAAQ",13,"","01/05/2013","Closed Lost","","","Software","Egestas Limited","",8944,"","","","","01/05/2013 00:00","","","","","",-75.724286,"",39.843873
"Egestas Limited vuQCAAY  MOL Standard Software","006i0000001vuQCAAY",194,"","05/26/2013","Closed Won","","","Software","Egestas Limited","",148992,"","","","","05/18/2013 00:00","","","","","",-75.724286,"",39.843873
"Egestas Limited vvGEAAY  MOL Standard Software","006i0000001vvGEAAY",146,"","01/16/2014","Closed Won","","","Software","Egestas Limited","",100448,"","","","","01/15/2014 00:00","","","","","",-75.724286,"",39.843873
"Egestas Limited vvq5AAA  MOL Standard Software","006i0000001vvq5AAA",30,"","06/10/2014","Closed Won","","","Software","Egestas Limited","",23040,"","","","","06/08/2014 00:00","","","","","",-75.724286,"",39.843873
"Egestas Limited vxcVAAQ  MOL Standard Software","006i0000001vxcVAAQ",16,"","05/01/2015","Closed Won","","","Software","Egestas Limited","",10752,"","","","","04/25/2015 00:00","","","","","",-75.724286,"",39.843873
"Sit Amet Nulla Consulting vwjyAAA  MOL Standard Software","006i0000001vwjyAAA",20,"","11/30/2014","Closed Won","","","Software","Sit Amet Nulla Consulting","",11360,"","","","","12/02/2014 00:00","","","","","",-121.516297,"",39.466768
"Sit Amet Nulla Consulting vxCoAAI  MOL Standard Software","006i0000001vxCoAAI",3,"","02/25/2015","Closed Lost","","","Software","Sit Amet Nulla Consulting","",2280,"","","","","02/23/2015 00:00","","","","","",-121.516297,"",39.466768
"Magna Associates vvOAAAY  MOL Mobile Software","006i0000001vvOAAAY",2,"","02/23/2014","Closed Won","","","Software","Magna Associates","",1674,"","","","","02/25/2014 00:00","","","","","",-106.354316,"",37.678011
"Magna Associates vxDEAAY  MOL Standard Software","006i0000001vxDEAAY",6,"","02/25/2015","Closed Lost","","","Software","Magna Associates","",4368,"","","","","02/24/2015 00:00","","","","","",-106.354316,"",37.678011
"Purus In Molestie Consulting vvfUAAQ  MOL Standard Maintenance","006i0000001vvfUAAQ",1,"","04/24/2014","Closed Won","","","Maintenance","Purus In Molestie Consulting","",114,"","","","","04/26/2014 00:00","","","","","",-112.066376,"",33.567979
"Purus In Molestie Consulting vxckAAA  MOL Standard Software","006i0000001vxckAAA",7,"","05/03/2015","Closed Won","","","Maintenance","Purus In Molestie Consulting","",697.2,"","","","","04/25/2015 00:00","","","","","",-112.066376,"",33.567979
"Aliquet Molestie Consulting vxDNAAY  MOL Standard Services","006i0000001vxDNAAY",18,"","02/22/2015","Closed Lost","","","Services","Aliquet Molestie Consulting","",10458,"","","","","02/24/2015 00:00","","","","","",-121.819919,"",45.728863
"Tempus Eu Ligula Corporation vxDPAAY  MOL Standard Services","006i0000001vxDPAAY",13,"","02/22/2015","Closed Won","","","Services","Tempus Eu Ligula Corporation","",7280,"","","","","02/24/2015 00:00","","","","","",-122.671122,"",45.628769
"Fringilla Industries vtkFAAQ  MOL Standard Software","006i0000001vtkFAAQ",2,"","06/27/2012","Closed Lost","","","Software","Fringilla Industries","",1280,"","","","","06/29/2012 00:00","","","","","",-81.722676,"",33.560276
"Fringilla Industries vxdQAAQ  MOL Premium Software","006i0000001vxdQAAQ",199,"","04/29/2015","Closed Won","","","Software","Fringilla Industries","",181488,"","","","","04/27/2015 00:00","","","","","",-81.722676,"",33.560276
"Eleifend Egestas LLP vvObAAI  MOL Standard Software","006i0000001vvObAAI",167,"","02/24/2014","Closed Lost","","","Software","Eleifend Egestas LLP","",118904,"","","","","02/26/2014 00:00","","","","","",-105.241599,"",38.440458
"Eleifend Egestas LLP vx3TAAQ  MOL Mobile Software","006i0000001vx3TAAQ",23,"","01/25/2015","Closed Won","","","Software","Eleifend Egestas LLP","",20700,"","","","","01/25/2015 00:00","","","","","",-105.241599,"",38.440458
"Eleifend Egestas LLP vxDXAAY  MOL Standard Software","006i0000001vxDXAAY",19,"","02/25/2015","Closed Lost","","","Software","Eleifend Egestas LLP","",12160,"","","","","02/25/2015 00:00","","","","","",-105.241599,"",38.440458
"Dolor Sit LLP vvOcAAI  MOL Standard Software","006i0000001vvOcAAI",60,"","02/24/2014","Closed Won","","","Software","Dolor Sit LLP","",36960,"","","","","02/26/2014 00:00","","","","","",-107.080319,"",37.255223
"Dolor Sit LLP vvj6AAA  MOL Standard Maintenance","006i0000001vvj6AAA",70,"","05/15/2014","Closed Won","","","Maintenance","Dolor Sit LLP","",7476,"","","","","05/07/2014 00:00","","","","","",-107.080319,"",37.255223
"Dolor Sit LLP vxDYAAY  MOL Standard Services","006i0000001vxDYAAY",3,"","02/28/2015","Closed Lost","","","Services","Dolor Sit LLP","",1848,"","","","","02/25/2015 00:00","","","","","",-107.080319,"",37.255223
"Gravida Inc. vtiDAAQ  MOL Standard Software","006i0000001vtiDAAQ",14,"","06/15/2012","Closed Won","","","Software","Gravida Inc.","",8960,"","","","","06/17/2012 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vtn7AAA  MOL Standard Software","006i0000001vtn7AAA",9,"","07/30/2012","Closed Won","","","Software","Gravida Inc.","",6264,"","","","","07/29/2012 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vu2RAAQ  MOL Mobile Software","006i0000001vu2RAAQ",29,"","12/21/2012","Closed Won","","","Software","Gravida Inc.","",20358,"","","","","12/16/2012 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vu43AAA  MOL Standard Services","006i0000001vu43AAA",13,"","12/27/2012","Closed Won","","","Services","Gravida Inc.","",8645,"","","","","12/26/2012 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vuENAAY  MOL Standard Maintenance","006i0000001vuENAAY",3,"","03/15/2013","Closed Lost","","","Maintenance","Gravida Inc.","",316.8,"","","","","03/12/2013 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vuHTAAY  MOL Standard Maintenance","006i0000001vuHTAAY",3,"","04/01/2013","Closed Won","","","Maintenance","Gravida Inc.","",266.4,"","","","","03/27/2013 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vuWZAAY  MOL Standard Services","006i0000001vuWZAAY",6,"","06/25/2013","Closed Lost","","","Services","Gravida Inc.","",4116,"","","","","06/19/2013 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vuh2AAA  MOL Standard Software","006i0000001vuh2AAA",22,"","08/27/2013","Closed Won","","","Software","Gravida Inc.","",13200,"","","","","08/21/2013 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vutLAAQ  MOL Standard Maintenance","006i0000001vutLAAQ",63,"","10/05/2013","Closed Won","","","Maintenance","Gravida Inc.","",6577.2,"","","","","09/30/2013 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vv1jAAA  MOL Standard Services","006i0000001vv1jAAA",30,"","11/23/2013","Closed Won","","","Services","Gravida Inc.","",20160,"","","","","11/20/2013 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vv9tAAA  MOL Standard Software","006i0000001vv9tAAA",81,"","12/31/2013","Closed Lost","","","Software","Gravida Inc.","",56376,"","","","","12/26/2013 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vvMZAAY  MOL Standard Software","006i0000001vvMZAAY",14,"","02/23/2014","Closed Won","","","Software","Gravida Inc.","",10192,"","","","","02/18/2014 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vvQkAAI  MOL Standard Software","006i0000001vvQkAAI",9,"","03/10/2014","Closed Won","","","Software","Gravida Inc.","",6408,"","","","","03/09/2014 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vvReAAI  MOL Standard Maintenance","006i0000001vvReAAI",12,"","03/14/2014","Closed Won","","","Maintenance","Gravida Inc.","",1296,"","","","","03/12/2014 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vviEAAQ  MOL Premium Software","006i0000001vviEAAQ",3,"","05/08/2014","Closed Won","","","Software","Gravida Inc.","",3060,"","","","","05/05/2014 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vvz4AAA  MOL Standard Maintenance","006i0000001vvz4AAA",120,"","07/06/2014","Closed Won","","","Maintenance","Gravida Inc.","",10512,"","","","","07/01/2014 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vwBCAAY  MOL Premium Software","006i0000001vwBCAAY",600,"","08/26/2014","Closed Won","","","Software","Gravida Inc.","",597600,"","","","","08/19/2014 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vwW3AAI  MOL Mobile Software","006i0000001vwW3AAI",42,"","10/20/2014","Closed Lost","","","Software","Gravida Inc.","",27972,"","","","","10/19/2014 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vwsnAAA  MOL Standard Software","006i0000001vwsnAAA",1,"","12/28/2014","Closed Won","","","Software","Gravida Inc.","",768,"","","","","12/27/2014 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vwxeAAA  MOL Standard Software","006i0000001vwxeAAA",62,"","01/04/2015","Closed Won","","","Software","Gravida Inc.","",47120,"","","","","01/03/2015 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vwyUAAQ  MOL Standard Services","006i0000001vwyUAAQ",1,"","01/12/2015","Closed Lost","","","Services","Gravida Inc.","",553,"","","","","01/05/2015 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vx4XAAQ  MOL Standard Software","006i0000001vx4XAAQ",70,"","02/02/2015","Closed Won","","","Software","Gravida Inc.","",50960,"","","","","01/27/2015 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vx8yAAA  MOL Standard Maintenance","006i0000001vx8yAAA",43,"","02/14/2015","Closed Won","","","Maintenance","Gravida Inc.","",4798.8,"","","","","02/10/2015 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vxEbAAI  MOL Standard Software","006i0000001vxEbAAI",3,"","03/02/2015","Closed Won","","","Software","Gravida Inc.","",1728,"","","","","02/28/2015 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vxRCAAY  MOL Standard Maintenance","006i0000001vxRCAAY",9,"","03/31/2015","Closed Won","","","Maintenance","Gravida Inc.","",766.8,"","","","","03/30/2015 00:00","","","","","",-78.653498,"",35.779672
"Gravida Inc. vxdUAAQ  MOL Standard Software","006i0000001vxdUAAQ",3,"","05/01/2015","Closed Won","","","Software","Gravida Inc.","",2328,"","","","","04/27/2015 00:00","","","","","",-78.653498,"",35.779672
"Nec Eleifend Non Corp. vuDZAAY  MOL Premium Software","006i0000001vuDZAAY",22,"","03/04/2013","Closed Won","","","Software","Nec Eleifend Non Corp.","",18744,"","","","","03/06/2013 00:00","","","","","",-85.152766,"",41.067636
"Nec Eleifend Non Corp. vvNUAAY  MOL Standard Software","006i0000001vvNUAAY",2,"","03/02/2014","Closed Won","","","Software","Nec Eleifend Non Corp.","",1344,"","","","","02/23/2014 00:00","","","","","",-85.152766,"",41.067636
"Nec Eleifend Non Corp. vxdVAAQ  MOL Standard Services","006i0000001vxdVAAQ",6,"","04/30/2015","Closed Won","","","Services","Nec Eleifend Non Corp.","",3348,"","","","","04/27/2015 00:00","","","","","",-85.152766,"",41.067636
"Ridiculus Mus Donec Industries vxdWAAQ  MOL Standard Services","006i0000001vxdWAAQ",2,"","04/25/2015","Closed Won","","","Services","Ridiculus Mus Donec Industries","",1120,"","","","","04/27/2015 00:00","","","","","",-122.179795,"",47.630412
"Libero Consulting vvm6AAA  MOL Standard Software","006i0000001vvm6AAA",39,"","05/19/2014","Closed Won","","","Software","Libero Consulting","",24336,"","","","","05/21/2014 00:00","","","","","",-106.654713,"",35.232133
"Libero Consulting vxdXAAQ  MOL Standard Software","006i0000001vxdXAAQ",185,"","04/28/2015","Closed Lost","","","Software","Libero Consulting","",146520,"","","","","04/27/2015 00:00","","","","","",-106.654713,"",35.232133
"Felis Associates vv97AAA  MOL Standard Services","006i0000001vv97AAA",23,"","12/22/2013","Closed Lost","","","Services","Felis Associates","",11431,"","","","","12/24/2013 00:00","","","","","",-99.080882,"",40.696755
"Felis Associates vvdZAAQ  MOL Standard Maintenance","006i0000001vvdZAAQ",13,"","04/22/2014","Closed Won","","","Maintenance","Felis Associates","",1107.6,"","","","","04/16/2014 00:00","","","","","",-99.080882,"",40.696755
"Felis Associates vwd6AAA  MOL Standard Maintenance","006i0000001vwd6AAA",20,"","11/17/2014","Closed Won","","","Maintenance","Felis Associates","",1824,"","","","","11/10/2014 00:00","","","","","",-99.080882,"",40.696755
"Felis Associates vxKfAAI  MOL Standard Maintenance","006i0000001vxKfAAI",72,"","03/19/2015","Closed Won","","","Maintenance","Felis Associates","",8467.2,"","","","","03/17/2015 00:00","","","","","",-99.080882,"",40.696755
"Felis Associates vxdYAAQ  MOL Standard Software","006i0000001vxdYAAQ",13,"","05/05/2015","Closed Lost","","","Software","Felis Associates","",10088,"","","","","04/27/2015 00:00","","","","","",-99.080882,"",40.696755
"Sed Facilisis LLP vtYkAAI  MOL Standard Software","006i0000001vtYkAAI",2,"","03/22/2012","Closed Won","","","Software","Sed Facilisis LLP","",1360,"","","","","03/24/2012 00:00","","","","","",-74.838506,"",40.242345
"Sed Facilisis LLP vtmaAAA  MOL Standard Software","006i0000001vtmaAAA",35,"","07/30/2012","Closed Won","","","Software","Sed Facilisis LLP","",25760,"","","","","07/22/2012 00:00","","","","","",-74.838506,"",40.242345
"Sed Facilisis LLP vtpTAAQ  MOL Standard Software","006i0000001vtpTAAQ",39,"","09/03/2012","Closed Lost","","","Software","Sed Facilisis LLP","",25896,"","","","","08/26/2012 00:00","","","","","",-74.838506,"",40.242345
"Sed Facilisis LLP vuEjAAI  MOL Standard Software","006i0000001vuEjAAI",4,"","03/20/2013","Closed Won","","","Software","Sed Facilisis LLP","",2464,"","","","","03/16/2013 00:00","","","","","",-74.838506,"",40.242345
"Sed Facilisis LLP vucsAAA  MOL Standard Software","006i0000001vucsAAA",25,"","07/26/2013","Closed Won","","","Software","Sed Facilisis LLP","",17400,"","","","","07/24/2013 00:00","","","","","",-74.838506,"",40.242345
"Sed Facilisis LLP vuiRAAQ  MOL Standard Software","006i0000001vuiRAAQ",3,"","09/04/2013","Closed Won","","","Software","Sed Facilisis LLP","",2064,"","","","","08/28/2013 00:00","","","","","",-74.838506,"",40.242345
"Sed Facilisis LLP vvUHAAY  MOL Standard Maintenance","006i0000001vvUHAAY",3,"","03/27/2014","Closed Lost","","","Maintenance","Sed Facilisis LLP","",342,"","","","","03/23/2014 00:00","","","","","",-74.838506,"",40.242345
"Sed Facilisis LLP vvVUAAY  MOL Standard Software","006i0000001vvVUAAY",2,"","03/27/2014","Closed Won","","","Software","Sed Facilisis LLP","",1184,"","","","","03/26/2014 00:00","","","","","",-74.838506,"",40.242345
"Sed Facilisis LLP vxDmAAI  MOL Standard Software","006i0000001vxDmAAI",2,"","03/05/2015","Closed Won","","","Software","Sed Facilisis LLP","",1520,"","","","","02/27/2015 00:00","","","","","",-74.838506,"",40.242345
"Gizmonic Institute vwwZAAQ  MOL Standard Software","006i0000001vwwZAAQ",15,"","12/26/2014","Closed Won","","","Software","Gizmonic Institute","",11160,"","","","","12/28/2014 00:00","","","","","",-123.020989,"",44.046382
"Gizmonic Institute vxdmAAA  MOL Standard Software","006i0000001vxdmAAA",58,"","04/30/2015","Closed Won","","","Software","Gizmonic Institute","",40368,"","","","","04/27/2015 00:00","","","","","",-123.020989,"",44.046382
"Et Eros Proin Corporation vuBVAAY  MOL Mobile Services","006i0000001vuBVAAY",1,"","02/22/2013","Closed Lost","","","Services","Et Eros Proin Corporation","",522,"","","","","02/24/2013 00:00","","","","","",-86.721056,"",41.611958
"Et Eros Proin Corporation vvMOAAY  MOL Standard Maintenance","006i0000001vvMOAAY",16,"","02/19/2014","Closed Lost","","","Maintenance","Et Eros Proin Corporation","",1593.6,"","","","","02/17/2014 00:00","","","","","",-86.721056,"",41.611958
"Et Eros Proin Corporation vxDuAAI  MOL Standard Maintenance","006i0000001vxDuAAI",27,"","03/06/2015","Closed Lost","","","Maintenance","Et Eros Proin Corporation","",3110.4,"","","","","02/27/2015 00:00","","","","","",-86.721056,"",41.611958
"Ultrices Vivamus Rhoncus Institute vxdqAAA  MOL Standard Software","006i0000001vxdqAAA",216,"","06/29/2015","Discover","","","Software","Ultrices Vivamus Rhoncus Institute","",129600,"","","","","04/27/2015 00:00","","","","","",-122.389952,"",47.660558
"Quam Vel Sapien PC vvBYAAY  MOL Standard Maintenance","006i0000001vvBYAAY",10,"","12/27/2013","Closed Won","","","Maintenance","Quam Vel Sapien PC","",996,"","","","","12/29/2013 00:00","","","","","",-98.495479,"",29.409953
"Quam Vel Sapien PC vuyWAAQ  MOL Mobile Software","006i0000001vuyWAAQ",15,"","12/27/2013","Closed Won","","","Software","Quam Vel Sapien PC","",12420,"","","","","11/02/2013 00:00","","","","","",-98.495479,"",29.409953
"Quam Vel Sapien PC vwibAAA  MOL Standard Software","006i0000001vwibAAA",10,"","11/30/2014","Closed Lost","","","Software","Quam Vel Sapien PC","",6640,"","","","","11/29/2014 00:00","","","","","",-98.495479,"",29.409953
"Quam Vel Sapien PC vxGDAAY  MOL Standard Software","006i0000001vxGDAAY",16,"","03/10/2015","Closed Won","","","Software","Quam Vel Sapien PC","",11264,"","","","","03/07/2015 00:00","","","","","",-98.495479,"",29.409953
